═══════════════════════════════════════════════════════════════════════════════
  GOD EAR V3 — CALIBRATION DATA ANALYSIS
═══════════════════════════════════════════════════════════════════════════════


### METRIC: scaledKick
Category                        n     min      p25      med      p75      p90      p95      max      mean
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0011   0.0023   0.0033   0.0055   0.0076   0.0091   0.0151   0.0045
SNARES      230    0.0014   0.0083   0.0113   0.0138   0.0167   0.0182   0.0214   0.0114
HIHATS       62    0.0058   0.0101   0.0140   0.0176   0.0191   0.0201   0.0234   0.0140
CYMBALS      12    0.0124   0.0165   0.0197   0.0231   0.0251   0.0262   0.0284   0.0200
MELODIC      37    0.0048   0.0113   0.0146   0.0183   0.0206   0.0256   0.0262   0.0148
FULLKIT      28    0.0078   0.0095   0.0109   0.0135   0.0155   0.0166   0.0195   0.0118

### flatness — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0242   0.0382   0.0643   0.1021   0.2011   0.3047   0.4705   0.1003
SNARES      230    0.0588   0.1665   0.1994   0.2322   0.3132   0.3613   0.4608   0.2078
HIHATS       62    0.2115   0.2862   0.3139   0.3299   0.3501   0.3543   0.3730   0.3083
CYMBALS      12    0.1619   0.1815   0.1965   0.2723   0.4565   0.4567   0.5511   0.2724
MELODIC      37    0.0771   0.0996   0.1598   0.3110   0.3862   0.3958   0.4605   0.2074
FULLKIT      28    0.2100   0.2245   0.2311   0.2390   0.2534   0.3001   0.3420   0.2389

### whiteNoiseScore — BY GROUP
Group        n     min      p25      med      p75      p90      p95      max      mean
──────────────────────────────────────────────────────────────────────────────────────
KICKS        63    0.0000   0.0000   0.0000   0.0213   1.0000   1.0000   1.0000   0.1688
SNARES      230    0.0000   0.6651   0.9937   1.0000   1.0000   1.0000   1.0000   0.7873
HIHATS       62    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000
CYMBALS      12    0.6189   0.8147   0.9646   1.0000   1.0000   1.0000   1.0000   0.9073
MELODIC      37    0.0000   0.0000   0.5978   1.0000   1.0000   1.0000   1.0000   0.5492
FULLKIT      28    1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000   1.0000


═══════════════════════════════════════════════════════════════════════════════
  AGC OVERSHOOT ANALYSIS (scaledKick > 1.0)
═══════════════════════════════════════════════════════════════════════════════
KICKS       n= 63 | >1.0:   4 (6.3%) | >1.2:   1 (1.6%) | >1.5:   0 (0.0%) | absMax=1.2069
SNARES      n=230 | >1.0:   0 (0.0%) | >1.2:   0 (0.0%) | >1.5:   0 (0.0%) | absMax=0.3613
HIHATS      n= 62 | >1.0:   0 (0.0%) | >1.2:   0 (0.0%) | >1.5:   0 (0.0%) | absMax=0.0144
