Timestamp,Type,Severity,Message
2025-12-09T06:33:38.777Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:38.777Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:37.565Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:36.959Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:35.140Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:35.140Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:33.925Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:33.321Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:32.711Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:33:31.498Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:31.498Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:30.280Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:33:29.676Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:29.069Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:27.863Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:27.863Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:33:26.653Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:26.051Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:24.240Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:24.240Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:23.033Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:22.426Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:21.819Z,HUNT,warning,"👁️ Acechando... Beauty Score: 86% ¡Objetivo a la vista!"
2025-12-09T06:33:20.602Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:20.602Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:19.392Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:18.787Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:16.969Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
2025-12-09T06:33:16.969Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:15.757Z,HUNT,warning,"👁️ Acechando... Beauty Score: 87% ¡Objetivo a la vista!"
2025-12-09T06:33:15.148Z,GENRE,info,"🎸 Detectando cyberpunk... (85% confianza)"
